deaths removed sum_inc end_inc mob_a q_a test_a rew
0.0 0.0 2.8e6 200000.0 5 5 5 -474.90385249999997
12903.0 200000.0 2.633579e6 46482.0 5 5 5 -612.47181875
25086.0 398979.0 2.483272e6 60855.0 5 5 5 -539.19068125
36581.0 597028.0 2.327273e6 53545.0 5 5 5 -417.5360075
47078.0 794098.0 2.161112e6 41406.0 5 5 5 -324.95245750000004
56887.0 990136.0 1.987431e6 32166.0 5 5 5 -267.82059499999997
65797.0 1.185342e6 1.809791e6 26476.0 5 5 5 -129.21179625
73901.0 1.379328e6 1.620338e6 12637.0 5 5 5 -126.11268875
81050.0 1.572357e6 1.432511e6 12351.0 5 5 5 -112.07696375
87263.0 1.764455e6 1.245171e6 10971.0 5 5 5 -85.0873725
92451.0 1.955636e6 1.0571e6 8298.0 5 5 5 -44.264796249999996
96809.0 2.145858e6 866757.0 4237.0 5 5 5 -34.57011625
100153.0 2.335212e6 677352.0 3293.0 5 5 5 -24.29086
102585.0 2.523489e6 488931.0 2288.0 5 5 5 -21.527045
104043.0 2.710989e6 302009.0 2036.0 5 5 5 -13.520050000000001
105317.0 2.754572e6 258392.0 1240.0 5 5 5 -11.29303
106324.0 2.811692e6 201289.0 1024.0 5 5 5 -0.984375
107058.0 2.861957e6 150990.0 700.0 5 5 5 -0.9527612500000001
107666.0 2.900723e6 112225.0 609.0 5 5 5 -0.8975625
108055.0 2.930795e6 82014.0 250.0 5 5 5 -0.87231875
108343.0 2.955568e6 57208.0 255.0 5 5 5 -0.8552137500000001
108563.0 2.967388e6 45339.0 171.0 5 5 5 -0.8431475
108735.0 2.978972e6 33701.0 118.0 5 5 5 -0.8271400000000001
108843.0 2.989264e6 23413.0 112.0 5 5 5 -0.82006875
108923.0 2.997068e6 15584.0 55.0 5 5 5 -0.81655125
108989.0 3.001039e6 11588.0 41.0 5 5 5 -0.8097875000000001
109028.0 3.004158e6 8460.0 30.0 5 5 5 -0.807535
109058.0 3.006325e6 6291.0 28.0 5 5 5 -0.8055175
109080.0 3.008218e6 4390.0 14.0 5 5 5 -0.8037662500000001
109095.0 3.009374e6 3232.0 13.0 5 5 5 -0.80226375
