deaths removed sum_inc end_inc mob_a q_a test_a rew
0.0 0.0 2.8e6 200000.0 5 5 1 -586.9886325000001
13025.0 200000.0 2.644881e6 57906.0 5 5 4 -495.0397125
25139.0 399036.0 2.482701e6 48970.0 5 5 3 -324.62356375
36633.0 597028.0 2.305266e6 32051.0 5 4 4 -435.79967125
47176.0 794069.0 2.140819e6 43137.0 5 5 2 -303.88841125000005
56820.0 990054.0 1.965119e6 29929.0 5 5 5 -251.13707375
65685.0 1.185161e6 1.785806e6 24659.0 5 5 5 -133.90264
73550.0 1.379263e6 1.596951e6 13112.0 5 4 5 -103.6538225
80635.0 1.572482e6 1.406705e6 10058.0 5 4 5 -98.30125
86632.0 1.764711e6 1.218079e6 9600.0 5 4 1 -87.93200875000001
91678.0 1.955915e6 1.030236e6 8407.0 3 3 4 -95.42385250000001
95928.0 2.146104e6 844879.0 9082.0 5 4 1 -43.503384999999994
99242.0 2.335385e6 656192.0 3908.0 4 4 1 -45.117940000000004
101652.0 2.523612e6 469907.0 4352.0 5 4 4 -25.516302500000002
103066.0 2.711022e6 283325.0 2242.0 5 4 3 -14.32635625
104205.0 2.765266e6 229227.0 1285.0 5 5 3 -14.58364375
105133.0 2.811198e6 183682.0 1315.0 4 5 3 -11.02896625
105924.0 2.841132e6 153930.0 973.0 5 4 3 -1.8359424999999998
106503.0 2.881569e6 113868.0 954.0 4 4 4 -1.7540087500000001
106955.0 2.909574e6 86218.0 807.0 4 3 4 -1.2046100000000002
107250.0 2.932635e6 63550.0 688.0 4 3 3 -1.1446075000000002
107506.0 2.944909e6 51506.0 486.0 4 3 2 -1.0838850000000002
107720.0 2.954322e6 42187.0 308.0 4 3 4 -1.67056
107881.0 2.963319e6 33277.0 248.0 4 4 4 -1.17133375
108005.0 2.971185e6 25554.0 267.0 4 2 3 -2.0937675000000002
108099.0 2.979699e6 17160.0 214.0 4 2 1 -1.48502
108158.0 2.983356e6 13660.0 216.0 5 2 2 -1.6328850000000001
108209.0 2.987425e6 9648.0 108.0 3 2 3 -1.9804312500000003
108250.0 2.989528e6 7649.0 145.0 3 2 3 -0.4794575000000001
108287.0 2.990739e6 6567.0 166.0 3 1 3 -0.9648725000000001
108306.0 2.991966e6 5419.0 98.0 3 1 3 -0.46438250000000003
108323.0 2.992883e6 4591.0 106.0 3 1 2 -0.91358
108337.0 2.993768e6 3756.0 64.0 3 1 2 -0.41362250000000006
108351.0 2.994532e6 3076.0 98.0 3 2 1 -1.37381625
108366.0 2.995177e6 2469.0 53.0 2 3 2 -1.83181625
108373.0 2.995636e6 2056.0 53.0 2 3 3 -0.88209625
108381.0 2.995927e6 1834.0 77.0 2 3 2 -0.8310612500000001
108385.0 2.996155e6 1651.0 49.0 2 3 3 -0.88207
108393.0 2.996402e6 1452.0 56.0 1 3 3 -0.7818200000000001
108400.0 2.996602e6 1301.0 56.0 1 3 5 -1.3818137499999998
108407.0 2.996808e6 1139.0 51.0 2 3 4 -1.430565
108409.0 2.996912e6 1085.0 52.0 3 3 2 -1.93102375
108413.0 2.99705e6 962.0 19.0 2 3 1 -1.2805437499999999
108415.0 2.997206e6 839.0 35.0 2 3 1 -0.28079375
108418.0 2.9973e6 777.0 35.0 1 3 3 -1.780545
108420.0 2.997398e6 713.0 36.0 1 5 3 -1.3002837500000002
108421.0 2.997457e6 680.0 27.0 1 5 3 -0.30077875
108424.0 2.997552e6 605.0 23.0 1 5 4 -0.85101875
108428.0 2.997604e6 564.0 15.0 1 4 4 -0.84027125
108429.0 2.997656e6 528.0 17.0 3 4 3 -1.9902650000000002
108430.0 2.997729e6 466.0 12.0 3 5 3 -1.0002725000000001
108431.0 2.997775e6 437.0 18.0 4 5 3 -1.1000037500000002
108431.0 2.997827e6 388.0 3.0 4 3 4 -2.13026
108432.0 2.997881e6 341.0 8.0 4 3 4 -0.6307537500000001
108435.0 2.997932e6 290.0 3.0 4 3 4 -0.6300012500000001
108435.0 2.997981e6 242.0 1.0 3 3 3 -1.4805087499999998
108437.0 2.998e6 228.0 7.0 3 3 4 -1.03000375
108437.0 2.998033e6 198.0 3.0 3 4 4 -1.0402500000000001
108438.0 2.998065e6 165.0 0.0 3 4 3 -0.9902537499999999
108439.0 2.998097e6 135.0 3.0 2 4 3 -0.89000125
108439.0 2.99812e6 113.0 1.0 2 3 3 -0.88000375
108439.0 2.998143e6 93.0 3.0 2 4 3 -0.890005
108439.0 2.998158e6 82.0 4.0 1 3 3 -1.28000125
108439.0 2.998175e6 66.0 1.0 2 3 4 -1.4302525000000001
108440.0 2.998187e6 55.0 2.0 1 3 4 -0.83000125
108440.0 2.998205e6 38.0 1.0 1 2 4 -0.82000125
108440.0 2.998207e6 37.0 1.0 1 2 4 -0.32025125000000004
108441.0 2.998215e6 29.0 1.0 1 1 4 -0.81025
108442.0 2.998218e6 25.0 0.0 1 1 3 -0.76
108442.0 2.998219e6 24.0 0.0 3 1 3 -1.46
108442.0 2.998226e6 17.0 0.0 1 2 3 -1.77
108442.0 2.998228e6 15.0 0.0 2 3 4 -1.9300012500000001
108442.0 2.998228e6 16.0 1.0 3 3 4 -1.03
108442.0 2.998231e6 13.0 0.0 3 4 4 -1.04
108442.0 2.998232e6 12.0 0.0 2 5 3 -1.9
108442.0 2.998234e6 10.0 0.0 2 2 3 -1.87
108442.0 2.998238e6 6.0 0.0 2 3 3 -0.88000125
108442.0 2.998239e6 6.0 1.0 2 4 3 -0.89
108442.0 2.998241e6 4.0 0.0 2 4 3 -0.39
108442.0 2.998241e6 4.0 0.0 2 5 3 -0.9
108442.0 2.998242e6 3.0 0.0 3 4 3 -1.49
108442.0 2.998243e6 2.0 0.0 3 3 3 -0.9800000000000001
108442.0 2.998243e6 2.0 0.0 3 2 3 -0.9700000000000001
108442.0 2.998243e6 2.0 0.0 3 2 1 -1.37
108442.0 2.998243e6 2.0 0.0 1 2 4 -2.8200000000000003
108442.0 2.998243e6 2.0 0.0 2 3 4 -1.4300000000000002
108442.0 2.998244e6 1.0 0.0 2 2 4 -0.92
108442.0 2.998244e6 1.0 0.0 2 2 3 -0.8700000000000001
108442.0 2.998244e6 1.0 0.0 1 3 3 -1.28
108442.0 2.998244e6 1.0 0.0 2 2 3 -1.37
108442.0 2.998244e6 1.0 0.0 3 2 3 -0.9700000000000001
108442.0 2.998245e6 0.0 0.0 3 1 3 -0.9600000000000001
108442.0 2.998245e6 0.0 0.0 2 3 3 -1.88
108442.0 2.998245e6 0.0 0.0 2 3 3 -0.38
108442.0 2.998245e6 0.0 0.0 3 3 3 -0.9800000000000001
108442.0 2.998245e6 0.0 0.0 3 3 3 -0.4800000000000001
108442.0 2.998245e6 0.0 0.0 3 3 2 -0.93
108442.0 2.998245e6 0.0 0.0 3 3 2 -0.43000000000000005
108442.0 2.998245e6 0.0 0.0 2 2 4 -2.42
108442.0 2.998245e6 0.0 0.0 2 4 4 -1.44
108442.0 2.998245e6 0.0 0.0 3 5 4 -1.55
108442.0 2.998245e6 0.0 0.0 3 5 4 -0.55
108442.0 2.998245e6 0.0 0.0 3 5 4 -0.55
108442.0 2.998245e6 0.0 0.0 2 4 2 -2.34
108442.0 2.998245e6 0.0 0.0 2 4 3 -0.89
108442.0 2.998245e6 0.0 0.0 3 4 3 -0.99
108442.0 2.998245e6 0.0 0.0 3 3 3 -0.9800000000000001
108442.0 2.998245e6 0.0 0.0 4 4 4 -2.14
108442.0 2.998245e6 0.0 0.0 4 4 4 -0.6400000000000001
108442.0 2.998245e6 0.0 0.0 4 4 4 -0.6400000000000001
108442.0 2.998245e6 0.0 0.0 3 3 4 -1.53
108442.0 2.998245e6 0.0 0.0 1 3 3 -1.78
108442.0 2.998245e6 0.0 0.0 3 3 3 -1.48
108442.0 2.998245e6 0.0 0.0 3 3 4 -1.03
108442.0 2.998245e6 0.0 0.0 3 3 4 -0.53
108442.0 2.998245e6 0.0 0.0 2 3 4 -0.93
108442.0 2.998245e6 0.0 0.0 3 3 3 -1.48
108442.0 2.998245e6 0.0 0.0 2 3 4 -1.4300000000000002
108442.0 2.998245e6 0.0 0.0 3 3 4 -1.03
108442.0 2.998245e6 0.0 0.0 3 2 4 -1.02
108442.0 2.998245e6 0.0 0.0 2 2 4 -0.92
108442.0 2.998245e6 0.0 0.0 2 1 4 -0.91
108442.0 2.998245e6 0.0 0.0 4 1 5 -2.16
108442.0 2.998245e6 0.0 0.0 4 1 4 -1.11
108442.0 2.998245e6 0.0 0.0 4 1 4 -0.6100000000000001
108442.0 2.998245e6 0.0 0.0 3 3 3 -2.48
108442.0 2.998245e6 0.0 0.0 1 1 3 -2.26
108442.0 2.998245e6 0.0 0.0 2 1 2 -1.31
108442.0 2.998245e6 0.0 0.0 3 2 3 -1.9700000000000002
108442.0 2.998245e6 0.0 0.0 4 2 3 -1.07
108442.0 2.998245e6 0.0 0.0 4 2 4 -1.12
108442.0 2.998245e6 0.0 0.0 4 2 3 -1.07
108442.0 2.998245e6 0.0 0.0 4 2 3 -0.5700000000000001
108442.0 2.998245e6 0.0 0.0 2 2 3 -1.37
108442.0 2.998245e6 0.0 0.0 3 3 2 -1.9300000000000002
108442.0 2.998245e6 0.0 0.0 3 4 3 -1.49
108442.0 2.998245e6 0.0 0.0 3 4 3 -0.49000000000000005
108442.0 2.998245e6 0.0 0.0 5 2 2 -3.12
108442.0 2.998245e6 0.0 0.0 5 2 2 -0.62
